"id" "title" "nr_solutions" "url"
495 " Writing n as the product of k distinct positive integers" 60 " https://projecteuler.net/problem=495"
478 " Mixtures" 63 " https://projecteuler.net/problem=478"
483 " Repeated permutation" 67 " https://projecteuler.net/problem=483"
494 " Collatz prefix families" 68 " https://projecteuler.net/problem=494"
489 " Common factors between two sequences" 75 " https://projecteuler.net/problem=489"
484 " Arithmetic Derivative" 82 " https://projecteuler.net/problem=484"
490 " Jumping frog" 91 " https://projecteuler.net/problem=490"
450 " Hypocycloid and Lattice points" 105 " https://projecteuler.net/problem=450"
482 " The incenter of a triangle" 107 " https://projecteuler.net/problem=482"
459 " Flipping game" 109 " https://projecteuler.net/problem=459"
488 " Unbalanced Nim" 109 " https://projecteuler.net/problem=488"
465 " Polar polygons" 113 " https://projecteuler.net/problem=465"
470 " Super Ramvok" 114 " https://projecteuler.net/problem=470"
471 " Triangle inscribed in ellipse" 116 " https://projecteuler.net/problem=471"
486 " Palindrome-containing strings" 116 " https://projecteuler.net/problem=486"
453 " Lattice Quadrilaterals" 117 " https://projecteuler.net/problem=453"
447 " Retractions C" 119 " https://projecteuler.net/problem=447"
438 " Integer part of polynomial equation's solutions" 120 " https://projecteuler.net/problem=438"
481 " Chef Showdown" 122 " https://projecteuler.net/problem=481"
439 " Sum of sum of divisors" 124 " https://projecteuler.net/problem=439"
468 " Smooth divisors of binomial coefficients" 127 " https://projecteuler.net/problem=468"
477 " Number Sequence Game" 127 " https://projecteuler.net/problem=477"
428 " Necklace of circles" 134 " https://projecteuler.net/problem=428"
427 " n-sequences" 139 " https://projecteuler.net/problem=427"
496 " Incenter and circumcenter of triangle" 141 " https://projecteuler.net/problem=496"
492 " Exploding sequence" 143 " https://projecteuler.net/problem=492"
466 " Distinct terms in a multiplication table" 145 " https://projecteuler.net/problem=466"
472 " Comfortable Distance II" 148 " https://projecteuler.net/problem=472"
462 " Permutation of 3-smooth numbers" 149 " https://projecteuler.net/problem=462"
426 " Box-ball system" 151 " https://projecteuler.net/problem=426"
410 " Circle and tangent line" 152 " https://projecteuler.net/problem=410"
448 " Average least common multiple" 152 " https://projecteuler.net/problem=448"
416 " A frog's trip" 153 " https://projecteuler.net/problem=416"
444 " The Roundtable Lottery" 154 " https://projecteuler.net/problem=444"
415 " Titanic sets" 155 " https://projecteuler.net/problem=415"
